index, name                                                   , type      , volume-mm3 
183 , ctx-lh-superiorparietal_7                              , cortical  ,     2204.0 
184 , ctx-lh-inferiorparietal_1                              , cortical  ,     1927.0 
185 , ctx-lh-inferiorparietal_2                              , cortical  ,     3128.0 
186 , ctx-lh-inferiorparietal_3                              , cortical  ,     1815.0 
187 , ctx-lh-inferiorparietal_4                              , cortical  ,     2313.0 
188 , ctx-lh-inferiorparietal_5                              , cortical  ,     2009.0 
189 , ctx-lh-inferiorparietal_6                              , cortical  ,     2553.0 
190 , ctx-lh-precuneus_1                                     , cortical  ,     1157.0 
191 , ctx-lh-precuneus_2                                     , cortical  ,     1909.0 
192 , ctx-lh-precuneus_3                                     , cortical  ,     1823.0 
193 , ctx-lh-precuneus_4                                     , cortical  ,     3741.0 
194 , ctx-lh-precuneus_5                                     , cortical  ,     2956.0 
195 , ctx-lh-cuneus_1                                        , cortical  ,     1166.0 
196 , ctx-lh-cuneus_2                                        , cortical  ,     1678.0 
197 , ctx-lh-pericalcarine_1                                 , cortical  ,     1576.0 
198 , ctx-lh-pericalcarine_2                                 , cortical  ,     1322.0 
199 , ctx-lh-lateraloccipital_1                              , cortical  ,     2321.0 
200 , ctx-lh-lateraloccipital_2                              , cortical  ,     2668.0 
201 , ctx-lh-lateraloccipital_3                              , cortical  ,     1969.0 
202 , ctx-lh-lateraloccipital_4                              , cortical  ,     3400.0 
203 , ctx-lh-lateraloccipital_5                              , cortical  ,     4673.0 
204 , ctx-lh-lingual_1                                       , cortical  ,     1976.0 
205 , ctx-lh-lingual_2                                       , cortical  ,     1873.0 
206 , ctx-lh-lingual_3                                       , cortical  ,     2861.0 
207 , ctx-lh-fusiform_1                                      , cortical  ,     1845.0 
208 , ctx-lh-fusiform_2                                      , cortical  ,     3014.0 
209 , ctx-lh-fusiform_3                                      , cortical  ,     2163.0 
210 , ctx-lh-fusiform_4                                      , cortical  ,     3347.0 
211 , ctx-lh-parahippocampal_1                               , cortical  ,     1820.0 
212 , ctx-lh-entorhinal_1                                    , cortical  ,     2094.0 
213 , ctx-lh-temporalpole_1                                  , cortical  ,     2682.0 
214 , ctx-lh-inferiortemporal_1                              , cortical  ,     2987.0 
215 , ctx-lh-inferiortemporal_2                              , cortical  ,     3008.0 
216 , ctx-lh-inferiortemporal_3                              , cortical  ,     3678.0 
217 , ctx-lh-inferiortemporal_4                              , cortical  ,     3704.0 
218 , ctx-lh-middletemporal_1                                , cortical  ,     2678.0 
219 , ctx-lh-middletemporal_2                                , cortical  ,     2097.0 
220 , ctx-lh-middletemporal_3                                , cortical  ,     2545.0 
221 , ctx-lh-middletemporal_4                                , cortical  ,     5661.0 
222 , ctx-lh-bankssts_1                                      , cortical  ,     2685.0 
223 , ctx-lh-superiortemporal_1                              , cortical  ,     3371.0 
224 , ctx-lh-superiortemporal_2                              , cortical  ,     1714.0 
225 , ctx-lh-superiortemporal_3                              , cortical  ,     2496.0 
226 , ctx-lh-superiortemporal_4                              , cortical  ,     1363.0 
227 , ctx-lh-superiortemporal_5                              , cortical  ,     4720.0 
228 , ctx-lh-transversetemporal_1                            , cortical  ,     1269.0 
229 , ctx-lh-insula_1                                        , cortical  ,     1671.0 
230 , ctx-lh-insula_2                                        , cortical  ,     2712.0 
231 , ctx-lh-insula_3                                        , cortical  ,     3035.0 
232 , Left-Pulvinar                                          , subcortical,        0.0 
233 , Left-Anterior                                          , subcortical,        0.0 
234 , Left-Medio_Dorsal                                      , subcortical,        0.0 
235 , Left-Ventral_Latero_Dorsal                             , subcortical,        0.0 
236 , Left-Central_Lateral-Lateral_Posterior-Medial_Pulvinar , subcortical,        0.0 
237 , Left-Ventral_Anterior                                  , subcortical,        0.0 
238 , Left-Ventral_Latero_Ventral                            , subcortical,        0.0 
239 , Left-Thalamus_Proper                                   , subcortical,    10034.0 
240 , Left-Caudate                                           , subcortical,     4499.0 
241 , Left-Putamen                                           , subcortical,     6187.0 
242 , Left-Pallidum                                          , subcortical,     2581.0 
243 , Left-Accumbens_area                                    , subcortical,      553.0 
244 , Left-Hippocampus                                       , subcortical,     5427.0 
245 , Left-Amygdala                                          , subcortical,     1870.0 
246 , Left-VentralDC                                         , subcortical,     5553.0 
247 , brainstem                                              , subcortical,    24749.0 
